"","X.1","rk","i","j","X207ゾーンi","X207ゾーンj","X47ゾーンi","X47ゾーンj","X207ゾーン名i","X207ゾーン名j","最寄りi","最寄りj","X","x_ij.k","ODij","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数","V22","prob","out.share","distance"
"1462",1462,1462,14,29,91,203,18,24,"宇都宮","上田","羽田","名古屋","羽田駅名古屋駅",0,59,0,NA,NA,NA,327.133122,0,NA,215.251881,0,0.711864406779661,0.001
"1463",1463,1463,14,30,91,211,18,24,"宇都宮","岐阜","宇都宮","岐阜羽島","宇都宮駅岐阜羽島駅",3,4,231,16420,1,618,15.800453,1,0,14.22067,0.75,0.25,505.8
"1464",1464,1464,14,30,91,211,18,24,"宇都宮","岐阜","羽田","名古屋","羽田駅名古屋駅",0,4,0,NA,NA,NA,174.687947,0,NA,62.806706,0,0.25,0.001
"1465",1465,1465,14,31,91,221,18,18,"宇都宮","中部","宇都宮","静岡","宇都宮駅静岡駅",9,81,119,10160,1,842,2.953725,1,0,1.373942,0.111111111111111,0.888888888888889,289.7
"1466",1466,1466,14,31,91,221,18,18,"宇都宮","中部","羽田","羽田","羽田駅羽田駅",0,81,0,NA,NA,NA,231.4779363,0,NA,119.5966953,0,0.888888888888889,0.001
"1467",1467,1467,14,32,91,222,18,24,"宇都宮","西部","宇都宮","浜松","宇都宮駅浜松駅",18,23,145,12520,1,790,3.355229167,1,0,1.775446167,0.782608695652174,0.217391304347826,366.6
"1468",1468,1468,14,32,91,222,18,24,"宇都宮","西部","羽田","名古屋","羽田駅名古屋駅",0,23,0,NA,NA,NA,183.832338,0,NA,71.951097,0,0.217391304347826,0.001
"1469",1469,1469,14,33,91,223,18,18,"宇都宮","東部","宇都宮","三島","宇都宮駅三島駅",28,54,113,8000,1,854,7.1127175,1,0,5.5329345,0.518518518518518,0.481481481481482,230.2
"1470",1470,1470,14,33,91,223,18,18,"宇都宮","東部","羽田","羽田","羽田駅羽田駅",0,54,0,NA,NA,NA,194.11568133,0,NA,82.23444033,0,0.481481481481482,0.001
"1471",1471,1471,14,34,91,231,18,24,"宇都宮","名古屋","宇都宮","名古屋","宇都宮駅名古屋駅",49,52,150,15120,1,780,4.520643333,1,0,2.940860333,0.942307692307692,0.0576923076923077,475.5
"1472",1472,1472,14,34,91,231,18,24,"宇都宮","名古屋","羽田","名古屋","羽田駅名古屋駅",0,52,0,NA,NA,NA,143.260318,0,NA,31.379077,0,0.0576923076923077,0.001
"1473",1473,1473,14,35,91,232,18,24,"宇都宮","東三河","宇都宮","豊橋","宇都宮駅豊橋駅",0,1,188,13600,1,704,3.075046667,1,0,1.495263667,0,1,403.1
"1474",1474,1474,14,35,91,232,18,24,"宇都宮","東三河","羽田","名古屋","羽田駅名古屋駅",0,1,0,NA,NA,NA,162.39873022,0,NA,50.51748922,0,1,0.001
"1475",1475,1475,14,36,91,233,18,24,"宇都宮","豊田","宇都宮","三河安城","宇都宮駅三河安城駅",13,22,207,14680,1,666,11.888147,1,0,10.308364,0.590909090909091,0.409090909090909,445.8
"1476",1476,1476,14,36,91,233,18,24,"宇都宮","豊田","羽田","名古屋","羽田駅名古屋駅",0,22,0,NA,NA,NA,146.814575,0,NA,34.933334,0,0.409090909090909,0.001
"1477",1477,1477,14,37,91,252,18,25,"宇都宮","東北部","宇都宮","米原","宇都宮駅米原駅",7,8,250,17500,1,580,7.012141,1,0,5.432358,0.875,0.125,555.4
"1478",1478,1478,14,37,91,252,18,25,"宇都宮","東北部","羽田","関西国際","羽田駅関西国際駅",0,8,72.6111111085,11550,21900,870,242.083414,0,2.71428571428571,130.202173,0,0.125,0.001
"1479",1479,1479,14,38,91,261,18,25,"宇都宮","京都","宇都宮","京都","宇都宮駅京都駅",35,44,186,19220,1,708,4.095914,1,0,2.516131,0.795454545454545,0.181818181818182,623.1
"1480",1480,1480,14,38,91,261,18,25,"宇都宮","京都","羽田","関西国際","羽田駅関西国際駅",1,44,72.6111111085,11550,21900,870,190.323667,0,2.71428571428571,78.442426,0.0227272727272727,0.181818181818182,0.0227272727272727
"1481",1481,1481,14,39,91,271,18,25,"宇都宮","大阪","宇都宮","新大阪","宇都宮駅新大阪駅",39,50,201,19660,1,678,2.684904,1,0,1.105121,0.78,0.18,662.1
"1482",1482,1482,14,39,91,271,18,25,"宇都宮","大阪","羽田","関西国際","羽田駅関西国際駅",2,50,72.6111111085,11550,21900,870,147.75873,0,2.71428571428571,35.877489,0.04,0.18,0.04
"1483",1483,1483,14,40,91,281,18,25,"宇都宮","神戸","宇都宮","新神戸","宇都宮駅新神戸駅",14,20,214,20300,1,652,3.30619,1,0,1.726407,0.7,0.15,699
"1484",1484,1484,14,40,91,281,18,25,"宇都宮","神戸","羽田","関西国際","羽田駅関西国際駅",3,20,72.6111111085,11550,21900,870,140.125502,0,2.71428571428571,28.244261,0.15,0.15,0.15
"1485",1485,1485,14,41,91,283,18,25,"宇都宮","播磨","宇都宮","姫路","宇都宮駅姫路駅",6,6,231,20960,1,618,3.009030667,1,0,1.429247667,1,0,753.8
"1486",1486,1486,14,41,91,283,18,25,"宇都宮","播磨","羽田","関西国際","羽田駅関西国際駅",0,6,72.6111111085,11550,21900,870,176.66253467,0,2.71428571428571,64.78129367,0,0,0.001
"1487",1487,1487,14,42,91,331,18,30,"宇都宮","県南","宇都宮","岡山","宇都宮駅岡山駅",17,22,246,22680,1,588,2.769153167,1,0,1.189370167,0.772727272727273,0.181818181818182,842.4
"1488",1488,1488,14,42,91,331,18,30,"宇都宮","県南","羽田","岡山","羽田駅岡山駅",1,22,80,15050,3285,635,131.56535967,0,2,19.68411867,0.0454545454545455,0.181818181818182,0.0454545454545455
"1489",1489,1489,14,43,91,341,18,31,"宇都宮","広島","宇都宮","広島","宇都宮駅広島駅",15,22,287,25280,1,506,3.6846065,1,0,2.1048235,0.681818181818182,0.181818181818182,1003.7
"1490",1490,1490,14,43,91,341,18,31,"宇都宮","広島","羽田","広島","羽田駅広島駅",3,22,87.5,15400,5840,735,157.00475717,0,3,45.12351617,0.136363636363636,0.181818181818182,0.136363636363636
"1491",1491,1491,14,44,91,342,18,31,"宇都宮","備後","宇都宮","福山","宇都宮駅福山駅",2,5,264,23320,1,552,2.147048167,1,0,0.567265167,0.4,0.6,900.7
"1492",1492,1492,14,44,91,342,18,31,"宇都宮","備後","羽田","広島","羽田駅広島駅",0,5,87.5,15400,5840,735,154.8816805,0,3,43.0004395,0,0.6,0.001
"1493",1493,1493,14,45,91,351,18,32,"宇都宮","山口","宇都宮","新山口","宇都宮駅新山口駅",1,4,315,27000,1,450,12.47537974,1,0,10.89559674,0.25,0.75,1136.5
"1494",1494,1494,14,45,91,351,18,32,"宇都宮","山口","羽田","山口宇部","羽田駅山口宇部駅",0,4,100,17300,2920,655,146.49295448,0,2,34.61171348,0,0.75,0.001
"1495",1495,1495,14,46,91,352,18,32,"宇都宮","下関","宇都宮","新下関","宇都宮駅新下関駅",0,0,458,27640,1,164,7.053489,1,0,5.473706,NA,NA,1198.2
"1496",1496,1496,14,46,91,352,18,32,"宇都宮","下関","羽田","山口宇部","羽田駅山口宇部駅",0,0,100,17300,2920,655,143.054466,0,2,31.173225,NA,NA,NA
"1497",1497,1497,14,47,91,353,18,32,"宇都宮","宇部","宇都宮","厚狭","宇都宮駅厚狭駅",0,1,447,27640,1,186,15.16218,1,0,13.582397,0,0,1171.6
"1498",1498,1498,14,47,91,353,18,32,"宇都宮","宇部","羽田","山口宇部","羽田駅山口宇部駅",1,1,100,17300,2920,655,115.492134,0,2,3.610893,1,0,0.999
"1499",1499,1499,14,48,91,354,18,32,"宇都宮","岩国","宇都宮","新岩国","宇都宮駅新岩国駅",0,0,397,25920,1,286,8.064444,1,0,6.484661,NA,NA,1045.1
"1500",1500,1500,14,48,91,354,18,32,"宇都宮","岩国","羽田","山口宇部","羽田駅山口宇部駅",0,0,100,17300,2920,655,202.82665,0,2,90.945409,NA,NA,NA
"1501",1501,1501,14,49,91,355,18,32,"宇都宮","徳山","宇都宮","徳山","宇都宮駅徳山駅",3,3,312,26360,1,456,8.870407,1,0,7.290624,1,0,1092.2
"1502",1502,1502,14,49,91,355,18,32,"宇都宮","徳山","羽田","山口宇部","羽田駅山口宇部駅",0,3,100,17300,2920,655,167.533544,0,2,55.652303,0,0,0.001
"1503",1503,1503,14,50,91,401,18,37,"宇都宮","福岡","宇都宮","博多","宇都宮駅博多駅",8,28,351,29600,1,378,3.333442,1,0,1.753659,0.285714285714286,0.285714285714286,1284.4
"1504",1504,1504,14,50,91,401,18,37,"宇都宮","福岡","羽田","福岡","羽田駅福岡駅",12,28,107.826086956522,16697.1014492754,25185,805,115.912939,0,2.33333333333333,4.031698,0.428571428571429,0.285714285714286,0.428571428571429
"1505",1505,1505,14,51,91,402,18,37,"宇都宮","北九州","宇都宮","小倉","宇都宮駅小倉駅",8,12,334,28300,1,412,2.324256333,1,0,0.744473333,0.666666666666667,0,1217.2
"1506",1506,1506,14,51,91,402,18,37,"宇都宮","北九州","羽田","福岡","羽田駅福岡駅",4,12,107.826086956522,16697.1014492754,25185,805,157.010617,0,2.33333333333333,45.129376,0.333333333333333,0,0.333333333333333
"1507",1507,1507,14,52,91,432,18,41,"宇都宮","八代・芦北","宇都宮","新八代","宇都宮駅新八代駅",0,0,451,31320,1,178,4.076294667,1,0,2.496511667,NA,NA,1435.7
"1508",1508,1508,14,52,91,432,18,41,"宇都宮","八代・芦北","羽田","熊本","羽田駅熊本駅",0,0,110,17325,5840,660,150.6626095,0,3,38.7813685,NA,NA,NA
"1509",1509,1509,14,53,91,461,18,44,"宇都宮","鹿児島","宇都宮","鹿児島中央","宇都宮駅鹿児島中央駅",0,6,496,33700,1,88,3.494347167,1,0,1.914564167,0,0.333333333333333,1573.3
"1510",1510,1510,14,53,91,461,18,44,"宇都宮","鹿児島","羽田","鹿児島","羽田駅鹿児島駅",4,6,110,18756.25,5840,630,137.08646617,0,3,25.20522517,0.666666666666667,0.333333333333333,0.666666666666667
"1511",1511,1511,14,54,91,462,18,44,"宇都宮","川北薩・串木野","宇都宮","川内","宇都宮駅川内駅",0,0,484,33040,1,112,2.413757167,1,0,0.833974167,NA,NA,1527.2
"1512",1512,1512,14,54,91,462,18,44,"宇都宮","川北薩・串木野","羽田","鹿児島","羽田駅鹿児島駅",0,0,110,18756.25,5840,630,147.09063117,0,3,35.20939017,NA,NA,NA
"1513",1513,1513,15,1,93,22,18,10,"栃木・小山","南部","小山","八戸","小山駅八戸駅",1,2,42,17500,1,996,9.989086,1,0,4.994543,0.5,0.5,551.3
"1514",1514,1514,15,1,93,22,18,10,"栃木・小山","南部","羽田","三沢","羽田駅三沢駅",0,2,80,14750,1095,585,45.047698,0,1,22.523849,0,0.5,0.001
"1515",1515,1515,15,2,93,31,18,11,"栃木・小山","盛岡","小山","盛岡","小山駅盛岡駅",1,2,42,14680,1,996,6.519236,1,0,1.524693,0.5,0.5,454.7
"1516",1516,1516,15,2,93,31,18,11,"栃木・小山","盛岡","羽田","花巻","羽田駅花巻駅",0,2,0,NA,NA,NA,53.741119,0,NA,31.21727,0,0.5,0.001
"1517",1517,1517,15,3,93,32,18,11,"栃木・小山","北上中部","小山","新花巻","小山駅新花巻駅",4,6,42,13600,1,996,10.20079,1,0,5.206247,0.666666666666667,0.333333333333333,419.4
"1518",1518,1518,15,3,93,32,18,11,"栃木・小山","北上中部","羽田","花巻","羽田駅花巻駅",0,6,0,NA,NA,NA,26.456241,0,NA,3.932392,0,0.333333333333333,0.001
"1519",1519,1519,15,4,93,33,18,11,"栃木・小山","両磐","小山","一ノ関","小山駅一ノ関駅",0,1,42,12520,1,996,6.379024,1,0,1.384481,0,1,364.5
"1520",1520,1520,15,4,93,33,18,11,"栃木・小山","両磐","羽田","花巻","羽田駅花巻駅",0,1,0,NA,NA,NA,76.497531,0,NA,53.973682,0,1,0.001
"1521",1521,1521,15,5,93,41,18,12,"栃木・小山","仙台","小山","仙台","小山駅仙台駅",60,82,42,9500,1,996,11.115287,1,0,1.31846,0.731707317073171,0.268292682926829,271.2
"1522",1522,1522,15,5,93,41,18,12,"栃木・小山","仙台","羽田","仙台","羽田駅仙台駅",0,82,60,9050,1460,270,107.75435,0,2,15.290981,0,0.268292682926829,0.001
"1523",1523,1523,15,6,93,43,18,12,"栃木・小山","古川","小山","くりこま高原","小山駅くりこま高原駅",1,4,42,11240,1,996,14.860835,1,0,5.064008,0.25,0.75,335.6
"1524",1524,1524,15,6,93,43,18,12,"栃木・小山","古川","羽田","仙台","羽田駅仙台駅",0,4,60,9050,1460,270,158.541084,0,2,66.077715,0,0.75,0.001
"1525",1525,1525,15,7,93,51,18,13,"栃木・小山","秋田臨海","小山","秋田","小山駅秋田駅",0,0,137,18580,1,806,12.108361,1,0,2.311534,NA,NA,582
"1526",1526,1526,15,7,93,51,18,13,"栃木・小山","秋田臨海","羽田","秋田","羽田駅秋田駅",0,0,70,12300,2555,660,107.79289,0,2,15.329521,NA,NA,NA
"1527",1527,1527,15,8,93,61,18,15,"栃木・小山","山形","小山","山形","小山駅山形駅",19,39,112,9500,1,856,11.115435,1,0,1.318608,0.487179487179487,0.512820512820513,279.3
"1528",1528,1528,15,8,93,61,18,15,"栃木・小山","山形","羽田","山形","羽田駅山形駅",0,39,60,9100,365,80,109.832651,0,1,17.369282,0,0.512820512820513,0.001
"1529",1529,1529,15,9,93,63,18,12,"栃木・小山","米沢","小山","米沢","小山駅米沢駅",2,4,78,8000,1,924,11.55183,1,0,1.755003,0.5,0.5,232.3
"1530",1530,1530,15,9,93,63,18,12,"栃木・小山","米沢","羽田","仙台","羽田駅仙台駅",0,4,60,9050,1460,270,167.755822,0,2,75.292453,0,0.5,0.001
"1531",1531,1531,15,10,93,64,18,12,"栃木・小山","新庄","小山","新庄","小山駅新庄駅",0,1,160,11880,1,760,10.236822,1,0,0.439995,0,1,340.8
"1532",1532,1532,15,10,93,64,18,12,"栃木・小山","新庄","羽田","仙台","羽田駅仙台駅",0,1,60,9050,1460,270,180.969597,0,2,88.506228,0,1,0.001
"1533",1533,1533,15,11,93,71,18,12,"栃木・小山","福島","小山","福島","小山駅福島駅",24,42,42,6700,1,996,11.777520833,1,0,1.980693833,0.571428571428571,0.428571428571429,192.2
"1534",1534,1534,15,11,93,71,18,12,"栃木・小山","福島","羽田","仙台","羽田駅仙台駅",0,42,60,9050,1460,270,144.4434805,0,2,51.9801115,0,0.428571428571429,0.001
"1535",1535,1535,15,12,93,73,18,17,"栃木・小山","郡山","小山","郡山","小山駅郡山駅",20,86,55,5180,1,970,12.785105,1,0,2.988278,0.232558139534884,0.767441860465116,146.1
"1536",1536,1536,15,12,93,73,18,17,"栃木・小山","郡山","羽田","福島","羽田駅福島駅",0,86,0,NA,NA,NA,114.3316505,0,NA,21.8682815,0,0.767441860465116,0.001
"1537",1537,1537,15,13,93,76,18,17,"栃木・小山","白河","小山","新白河","小山駅新白河駅",6,43,43,3880,1,994,12.348806667,1,0,2.551979667,0.13953488372093,0.86046511627907,104.8
"1538",1538,1538,15,13,93,76,18,17,"栃木・小山","白河","羽田","福島","羽田駅福島駅",0,43,0,NA,NA,NA,116.0173355,0,NA,23.5539665,0,0.86046511627907,0.001
"1539",1539,1539,15,14,93,91,18,18,"栃木・小山","宇都宮","小山","宇都宮","小山駅宇都宮駅",0,0,14,1000,1,1052,11.945736667,1,0,2.148909667,NA,NA,28.9
"1540",1540,1540,15,14,93,91,18,18,"栃木・小山","宇都宮","羽田","羽田","羽田駅羽田駅",0,0,0,NA,NA,NA,189.45171133,0,NA,96.98834233,NA,NA,NA
"1541",1541,1541,15,15,93,93,18,18,"栃木・小山","栃木・小山","小山","小山","小山駅小山駅",0,0,0,NA,1,1080,19.237929259,1,0,9.441102259,NA,NA,0
"1542",1542,1542,15,15,93,93,18,18,"栃木・小山","栃木・小山","羽田","羽田","羽田駅羽田駅",0,0,0,NA,NA,NA,179.74603281,0,NA,87.28266381,NA,NA,NA
"1543",1543,1543,15,16,93,95,18,18,"栃木・小山","那須","小山","那須塩原","小山駅那須塩原駅",0,0,28,2640,1,1024,16.704163,1,0,6.907336,NA,NA,77.2
"1544",1544,1544,15,16,93,95,18,18,"栃木・小山","那須","羽田","羽田","羽田駅羽田駅",0,0,0,NA,NA,NA,240.529435,0,NA,148.066066,NA,NA,NA
"1545",1545,1545,15,17,93,101,18,18,"栃木・小山","前橋・高崎","小山","高崎","小山駅高崎駅",4,281,40,820,1,1000,18.672663,1,0,8.875836,0.0142348754448399,0.98576512455516,24.4
"1546",1546,1546,15,17,93,101,18,18,"栃木・小山","前橋・高崎","羽田","羽田","羽田駅羽田駅",0,281,0,NA,NA,NA,206.179676,0,NA,113.716307,0,0.98576512455516,0.001
"1547",1547,1547,15,18,93,104,18,18,"栃木・小山","沼田・利根","小山","上毛高原","小山駅上毛高原駅",1,46,65,2640,1,950,18.327494,1,0,8.530667,0.0217391304347826,0.978260869565217,71
"1548",1548,1548,15,18,93,104,18,18,"栃木・小山","沼田・利根","羽田","羽田","羽田駅羽田駅",0,46,0,NA,NA,NA,231.25504,0,NA,138.791671,0,0.978260869565217,0.001
"1549",1549,1549,15,19,93,111,18,18,"栃木・小山","浦和","小山","大宮","小山駅大宮駅",57,57,16,1940,1,1048,15.199024,1,0,5.402197,1,0,50.3
"1550",1550,1550,15,19,93,111,18,18,"栃木・小山","浦和","羽田","羽田","羽田駅羽田駅",0,57,0,NA,NA,NA,129.343944,0,NA,36.880575,0,0,0.001
"1551",1551,1551,15,20,93,113,18,18,"栃木・小山","児玉・大里","小山","熊谷","小山駅熊谷駅",0,44,30,640,1,1020,10.506189,1,0,0.709362,0,1,15.9
"1552",1552,1552,15,20,93,113,18,18,"栃木・小山","児玉・大里","羽田","羽田","羽田駅羽田駅",0,44,0,NA,NA,NA,167.883516,0,NA,75.420147,0,1,0.001
"1553",1553,1553,15,21,93,131,18,18,"栃木・小山","23区","小山","東京","小山駅東京駅",348,1117,42,2980,1,996,NA,1,0,NA,0.311548791405551,0.688451208594449,80.6
"1554",1554,1554,15,21,93,131,18,18,"栃木・小山","23区","羽田","羽田","羽田駅羽田駅",0,1117,0,NA,NA,NA,NA,0,NA,NA,0,0.688451208594449,0.001
"1555",1555,1555,15,22,93,141,18,18,"栃木・小山","横浜","小山","新横浜","小山駅新横浜駅",25,105,61,3880,1,958,15.6592425,1,0,5.8624155,0.238095238095238,0.761904761904762,109.4
"1556",1556,1556,15,22,93,141,18,18,"栃木・小山","横浜","羽田","羽田","羽田駅羽田駅",0,105,0,NA,NA,NA,112.646539,0,NA,20.18317,0,0.761904761904762,0.001
"1557",1557,1557,15,23,93,144,18,18,"栃木・小山","小田原","小山","小田原","小山駅小田原駅",1,3,82,6040,1,916,11.066405,1,0,1.269578,0.333333333333333,0.666666666666667,164.5
"1558",1558,1558,15,23,93,144,18,18,"栃木・小山","小田原","羽田","羽田","羽田駅羽田駅",0,3,0,NA,NA,NA,152.47503817,0,NA,60.01166917,0,0.666666666666667,0.001
"1559",1559,1559,15,24,93,151,18,20,"栃木・小山","新潟","小山","新潟","小山駅新潟駅",6,13,111,8860,1,858,11.903111667,1,0,2.106284667,0.461538461538462,0.538461538461538,253.3
"1560",1560,1560,15,24,93,151,18,20,"栃木・小山","新潟","羽田","新潟","羽田駅新潟駅",0,13,0,NA,NA,NA,104.57744817,0,NA,12.11407917,0,0.538461538461538,0.001
"1561",1561,1561,15,25,93,152,18,20,"栃木・小山","長岡","小山","長岡","小山駅長岡駅",9,11,88,6700,1,904,10.08777,1,0,0.290943,0.818181818181818,0.181818181818182,190
"1562",1562,1562,15,25,93,152,18,20,"栃木・小山","長岡","羽田","新潟","羽田駅新潟駅",0,11,0,NA,NA,NA,151.31193159,0,NA,58.84856259,0,0.181818181818182,0.001
"1563",1563,1563,15,26,93,154,18,20,"栃木・小山","三条・燕","小山","燕三条","小山駅燕三条駅",0,1,99,7340,1,882,11.551037,1,0,1.75421,0,1,213.2
"1564",1564,1564,15,26,93,154,18,20,"栃木・小山","三条・燕","羽田","新潟","羽田駅新潟駅",0,1,0,NA,NA,NA,130.350481,0,NA,37.887112,0,1,0.001
"1565",1565,1565,15,27,93,155,18,20,"栃木・小山","魚沼","小山","浦佐","小山駅浦佐駅",0,4,78,5180,1,924,25.230964,1,0,15.434137,0,1,148.3
"1566",1566,1566,15,27,93,155,18,20,"栃木・小山","魚沼","羽田","新潟","羽田駅新潟駅",0,4,0,NA,NA,NA,189.692374,0,NA,97.229005,0,1,0.001
"1567",1567,1567,15,28,93,201,18,18,"栃木・小山","長野","小山","長野","小山駅長野駅",8,15,102,5180,1,876,10.876855,1,0,1.080028,0.533333333333333,0.466666666666667,141.8
"1568",1568,1568,15,28,93,201,18,18,"栃木・小山","長野","羽田","羽田","羽田駅羽田駅",0,15,0,NA,NA,NA,280.69437,0,NA,188.231001,0,0.466666666666667,0.001
"1569",1569,1569,15,29,93,203,18,24,"栃木・小山","上田","小山","上田","小山駅上田駅",2,30,90,3880,1,900,10.330231,1,0,0.533404,0.0666666666666667,0.933333333333333,108.6
"1570",1570,1570,15,29,93,203,18,24,"栃木・小山","上田","羽田","名古屋","羽田駅名古屋駅",0,30,0,NA,NA,NA,307.71525,0,NA,215.251881,0,0.933333333333333,0.001
"1571",1571,1571,15,30,93,211,18,24,"栃木・小山","岐阜","小山","岐阜羽島","小山駅岐阜羽島駅",4,4,222,15120,1,636,24.017497,1,0,14.22067,1,0,476.9
"1572",1572,1572,15,30,93,211,18,24,"栃木・小山","岐阜","羽田","名古屋","羽田駅名古屋駅",0,4,0,NA,NA,NA,155.270075,0,NA,62.806706,0,0,0.001
"1573",1573,1573,15,31,93,221,18,18,"栃木・小山","中部","小山","静岡","小山駅静岡駅",8,9,110,9500,1,860,11.170769,1,0,1.373942,0.888888888888889,0.111111111111111,260.8
"1574",1574,1574,15,31,93,221,18,18,"栃木・小山","中部","羽田","羽田","羽田駅羽田駅",0,9,0,NA,NA,NA,212.0600643,0,NA,119.5966953,0,0.111111111111111,0.001
"1575",1575,1575,15,32,93,222,18,24,"栃木・小山","西部","小山","浜松","小山駅浜松駅",2,5,136,11240,1,808,11.572273167,1,0,1.775446167,0.4,0.6,337.7
"1576",1576,1576,15,32,93,222,18,24,"栃木・小山","西部","羽田","名古屋","羽田駅名古屋駅",0,5,0,NA,NA,NA,164.414466,0,NA,71.951097,0,0.6,0.001
"1577",1577,1577,15,33,93,223,18,18,"栃木・小山","東部","小山","三島","小山駅三島駅",16,26,104,7340,1,872,15.3297615,1,0,5.5329345,0.615384615384615,0.384615384615385,201.3
"1578",1578,1578,15,33,93,223,18,18,"栃木・小山","東部","羽田","羽田","羽田駅羽田駅",0,26,0,NA,NA,NA,174.69780933,0,NA,82.23444033,0,0.384615384615385,0.001
"1579",1579,1579,15,34,93,231,18,24,"栃木・小山","名古屋","小山","名古屋","小山駅名古屋駅",7,7,141,14680,1,798,12.737687333,1,0,2.940860333,1,0,446.6
"1580",1580,1580,15,34,93,231,18,24,"栃木・小山","名古屋","羽田","名古屋","羽田駅名古屋駅",0,7,0,NA,NA,NA,123.842446,0,NA,31.379077,0,0,0.001
"1581",1581,1581,15,35,93,232,18,24,"栃木・小山","東三河","小山","豊橋","小山駅豊橋駅",1,1,179,12520,1,722,11.292090667,1,0,1.495263667,1,0,374.2
"1582",1582,1582,15,35,93,232,18,24,"栃木・小山","東三河","羽田","名古屋","羽田駅名古屋駅",0,1,0,NA,NA,NA,142.98085822,0,NA,50.51748922,0,0,0.001
"1583",1583,1583,15,36,93,233,18,24,"栃木・小山","豊田","小山","三河安城","小山駅三河安城駅",7,9,198,13600,1,684,20.105191,1,0,10.308364,0.777777777777778,0.222222222222222,416.9
"1584",1584,1584,15,36,93,233,18,24,"栃木・小山","豊田","羽田","名古屋","羽田駅名古屋駅",0,9,0,NA,NA,NA,127.396703,0,NA,34.933334,0,0.222222222222222,0.001
"1585",1585,1585,15,37,93,252,18,25,"栃木・小山","東北部","小山","米原","小山駅米原駅",1,3,241,16840,1,598,15.229185,1,0,5.432358,0.333333333333333,0.666666666666667,526.5
"1586",1586,1586,15,37,93,252,18,25,"栃木・小山","東北部","羽田","関西国際","羽田駅関西国際駅",0,3,72.6111111085,11550,21900,870,222.665542,0,2.71428571428571,130.202173,0,0.666666666666667,0.001
"1587",1587,1587,15,38,93,261,18,25,"栃木・小山","京都","小山","京都","小山駅京都駅",8,9,177,18580,1,726,12.312958,1,0,2.516131,0.888888888888889,0.111111111111111,594.2
"1588",1588,1588,15,38,93,261,18,25,"栃木・小山","京都","羽田","関西国際","羽田駅関西国際駅",0,9,72.6111111085,11550,21900,870,170.905795,0,2.71428571428571,78.442426,0,0.111111111111111,0.001
"1589",1589,1589,15,39,93,271,18,25,"栃木・小山","大阪","小山","新大阪","小山駅新大阪駅",11,12,192,19220,1,696,10.901948,1,0,1.105121,0.916666666666667,0.0833333333333334,633.2
"1590",1590,1590,15,39,93,271,18,25,"栃木・小山","大阪","羽田","関西国際","羽田駅関西国際駅",0,12,72.6111111085,11550,21900,870,128.340858,0,2.71428571428571,35.877489,0,0.0833333333333334,0.001
"1591",1591,1591,15,40,93,281,18,25,"栃木・小山","神戸","小山","新神戸","小山駅新神戸駅",5,5,205,19660,1,670,11.523234,1,0,1.726407,1,0,670.1
"1592",1592,1592,15,40,93,281,18,25,"栃木・小山","神戸","羽田","関西国際","羽田駅関西国際駅",0,5,72.6111111085,11550,21900,870,120.70763,0,2.71428571428571,28.244261,0,0,0.001
"1593",1593,1593,15,41,93,283,18,25,"栃木・小山","播磨","小山","姫路","小山駅姫路駅",6,6,222,20960,1,636,11.226074667,1,0,1.429247667,1,0,724.9
"1594",1594,1594,15,41,93,283,18,25,"栃木・小山","播磨","羽田","関西国際","羽田駅関西国際駅",0,6,72.6111111085,11550,21900,870,157.24466267,0,2.71428571428571,64.78129367,0,0,0.001
"1595",1595,1595,15,42,93,331,18,30,"栃木・小山","県南","小山","岡山","小山駅岡山駅",7,8,237,22240,1,606,10.986197167,1,0,1.189370167,0.875,0,813.5
"1596",1596,1596,15,42,93,331,18,30,"栃木・小山","県南","羽田","岡山","羽田駅岡山駅",1,8,80,15050,3285,635,112.14748767,0,2,19.68411867,0.125,0,0.125
"1597",1597,1597,15,43,93,341,18,31,"栃木・小山","広島","小山","広島","小山駅広島駅",5,7,278,24620,1,524,11.9016505,1,0,2.1048235,0.714285714285714,0,974.8
"1598",1598,1598,15,43,93,341,18,31,"栃木・小山","広島","羽田","広島","羽田駅広島駅",2,7,87.5,15400,5840,735,137.58688517,0,3,45.12351617,0.285714285714286,0,0.285714285714286
"1599",1599,1599,15,44,93,342,18,31,"栃木・小山","備後","小山","福山","小山駅福山駅",0,2,255,22680,1,570,10.364092167,1,0,0.567265167,0,1,871.8
"1600",1600,1600,15,44,93,342,18,31,"栃木・小山","備後","羽田","広島","羽田駅広島駅",0,2,87.5,15400,5840,735,135.4638085,0,3,43.0004395,0,1,0.001
"1601",1601,1601,15,45,93,351,18,32,"栃木・小山","山口","小山","新山口","小山駅新山口駅",0,0,306,26360,1,468,20.69242374,1,0,10.89559674,NA,NA,1107.6
"1602",1602,1602,15,45,93,351,18,32,"栃木・小山","山口","羽田","山口宇部","羽田駅山口宇部駅",0,0,100,17300,2920,655,127.07508248,0,2,34.61171348,NA,NA,NA
"1603",1603,1603,15,46,93,352,18,32,"栃木・小山","下関","小山","新下関","小山駅新下関駅",0,0,449,27640,1,182,15.270533,1,0,5.473706,NA,NA,1169.3
"1604",1604,1604,15,46,93,352,18,32,"栃木・小山","下関","羽田","山口宇部","羽田駅山口宇部駅",0,0,100,17300,2920,655,123.636594,0,2,31.173225,NA,NA,NA
